book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases
8761,1.0,22,4,1.0,18.0,15.5,9.0,1.532258064516129,4.0,9,4.467741935483871,42,360,7.25,29,0.3181818181818182,5.5,2.25,2.25,4.5
1184,1.0103033989810661,25897,26573,0.00041821914683294045,40.0,21.90628089118698,19.0,1.3560056857330796,11.0,70603,3.7682820790066978,16979,2612123,4.03433198996274,106111,3.097424412094065,0.9846019314120599,2.6843205839860085,0.0007223785263478062,0.001520796897574329
1257,0.782377988863413,13874,11943,0.005961349492302653,303.0,19.045856534556176,141.0,1.3512717767038713,91.0,36318,3.750477238722548,10930,1316510,3.568162463150999,54468,2.925904569698717,0.9088765149033737,2.3791680314444807,0.0092368162463151,0.019849328529315428
1259,0.7047592227541538,17276,12513,0.003154041115178823,357.0,17.608842579555056,108.0,1.3251899118808872,56.0,36600,3.6832509715492012,11644,1387284,3.310560405519572,58779,2.402350081037277,0.9730216840326669,2.061391157420445,0.006082793579273444,0.020107012109264997
2609,0.791988019468364,11676,10577,0.0018719580681392737,174.0,18.16937476600524,46.0,1.3359172807147686,25.0,28345,3.7027100539043567,10949,1080721,3.4798951703481844,46474,2.9803014731072284,0.8742792961437664,2.1224260576563085,0.0034444028453762634,0.013028828154249345
2681,0.9029167373240631,11393,10649,0.002289299643886722,68.0,20.318212650500254,29.0,1.3581935710023243,27.0,28646,3.7509691903869666,10098,1077727,3.6705952179074104,43291,2.7997893443342403,0.9659996608444972,2.4288621332881126,0.0024588773952857385,0.005765643547566559
2710,0.8790931989924433,10668,9423,0.0025188916876574307,69.0,20.056721709114655,29.0,1.3487543490799487,27.0,25197,3.7155794742032113,9484,959269,3.6030413284821345,38621,2.62026621672291,0.9952420934788693,2.350685698292751,0.0027054762571135367,0.006437167646235657
2759,0.8306066802999318,10013,9748,0.0022154055896387186,65.0,18.82924335378323,28.0,1.3490723142365826,26.0,26379,3.7466241288804416,10890,994701,3.564161554192229,41829,3.1774692899231,0.853186775732788,2.2476993865030677,0.0023858214042263124,0.005538513974096796
10743,1.8798434442270058,2643,4803,0.025048923679060666,176.0,37.147553816046965,68.0,1.232172960215779,64.0,16417,3.6294462238705325,6741,429121,6.634833659491194,16952,5.413923571698827,1.0344422700587084,6.425440313111546,0.026614481409001956,0.06888454011741683
30324,0.9313988594431399,4548,5553,0.008554176450855417,181.0,15.87889969808789,72.0,1.3505756839547902,51.0,12813,3.8760959121157708,8487,444839,3.396678966789668,20251,3.452726473175022,0.7628312646762831,2.149111036564911,0.012076484401207649,0.030358939953035895
2166,1.4042033235581624,3436,5746,0.004154447702834799,69.0,23.98509286412512,29.0,1.3027907118913467,17.0,14417,3.6984217551224186,7434,444945,4.563782991202346,18675,4.435098952270081,0.8396871945259042,3.5232160312805476,0.007086999022482893,0.01686217008797654
711,1.8200320146352618,3589,7959,0.011891150240109765,135.0,28.119597530299565,44.0,1.329145217822668,52.0,19639,3.8076557125082338,9039,575969,5.215184084152756,22806,5.354416271942045,0.8207180425337297,4.49096729933684,0.010061742510862108,0.030871255431054196
2728,1.5152542372881357,241,447,0.030508474576271188,35.0,27.17627118644068,20.0,1.3117126107022576,9.0,1238,3.694025196457528,1677,36357,5.020338983050848,1481,5.145228215767635,0.8169491525423729,4.196610169491525,0.06779661016949153,0.11864406779661017
5745,1.43338683788122,4516,7144,0.00020064205457463884,5.0,28.161918138041734,4.0,1.3057374304462128,1.0,22188,3.7338325294423584,7961,644293,4.66091492776886,23230,4.143932683790966,0.906099518459069,4.451845906902086,0.0008025682182985554,0.0010032102728731941
5174,1.178594249201278,5257,7378,0.001597444089456869,25.0,22.677635782747604,11.0,1.3078358997478199,10.0,20654,3.6958693171412067,8240,644179,3.9156549520766775,24512,3.6627354004184896,0.8397763578274761,3.2993610223642174,0.001757188498402556,0.003993610223642172
2727,1.0436726272352133,1617,3035,0.006533700137551582,49.0,20.541609353507564,18.0,1.2926759856030803,19.0,8773,3.6672804888256465,4893,269736,3.546079779917469,10312,5.3772418058132345,0.5560522696011004,3.016850068775791,0.006189821182943604,0.01685006877579092
5746,1.075969703924719,4397,4688,0.0142299747532706,140.0,23.87697957310076,68.0,1.273790756690249,62.0,16056,3.6389668563518915,6071,467192,4.1523984392930915,18092,3.114623607004776,1.0091806288730778,3.6851044296534314,0.01560706908423227,0.03213220105577232
1724,1.1202845797485108,5780,6771,0.0038054268696227664,72.0,23.83305757776307,31.0,1.3037689087589468,23.0,21359,3.7026664907981424,8008,659227,4.00529450694904,24208,3.1882352941176473,0.9563203176704169,3.53391793514229,0.005129053606882859,0.011912640635340834
2713,1.3745222929936305,761,2158,0.035668789808917196,148.0,25.685350318471336,67.0,1.2973763824827655,56.0,6223,3.6998710509348807,4160,183798,4.418471337579618,6937,8.115637319316688,0.48471337579617835,3.9636942675159235,0.04267515923566879,0.09426751592356689
1711,1.1453104359313078,5122,5202,0.019374724790841038,300.0,25.064949361514753,140.0,1.29880978523431,88.0,16439,3.598664851332953,6441,502659,4.257595772787318,19338,2.775478328777821,1.127697049757816,3.6193306913254073,0.030823425803610745,0.06605019815059446
5746,1.075969703924719,4397,4688,0.0142299747532706,140.0,23.87697957310076,68.0,1.273790756690249,62.0,16056,3.6389668563518915,6071,467192,4.1523984392930915,18092,3.114623607004776,1.0091806288730778,3.6851044296534314,0.01560706908423227,0.03213220105577232
5228,1.3785573653123322,4050,7702,0.008591372829783426,107.0,24.776982280293538,54.0,1.2855398796494955,48.0,21312,3.694168129510435,8265,626981,4.417039556112404,24678,5.093333333333334,0.7248970825129766,3.814569536423841,0.009665294433506354,0.019151601933058888
5745,1.43338683788122,4516,7144,0.00020064205457463884,5.0,28.161918138041734,4.0,1.3057374304462128,1.0,22188,3.7338325294423584,7961,644293,4.66091492776886,23230,4.143932683790966,0.906099518459069,4.451845906902086,0.0008025682182985554,0.0010032102728731941
6769,1.0936,6505,8202,0.007733333333333333,170.0,23.1736,88.0,1.2831555448153646,58.0,25333,3.6909356624204555,8663,784888,4.1596,31197,3.7958493466564183,0.8673333333333333,3.3777333333333335,0.011733333333333333,0.02266666666666667
95,0.7206560738083034,3201,2812,0.0046130189646335215,67.0,17.367247565351104,22.0,1.253427184322753,18.0,8817,3.4805141145395253,5195,288541,3.0,11706,2.656982193064667,0.8203485392106612,2.2596104561763197,0.005638134290107637,0.01717068170169144
1145,0.7267851156553805,4180,4336,0.009889373114314448,189.0,17.199798860207846,75.0,1.2769992398698033,59.0,13252,3.6082016099167755,6046,451752,3.069560844787127,18313,3.3811004784688996,0.7006369426751592,2.221253771371103,0.012571237009721757,0.03167951726449883
2226,0.9102099927588704,6777,7542,0.007723871590634806,195.0,15.417813178855901,80.0,1.306993236896487,64.0,16817,3.68663504289561,10568,583619,3.246319092445088,26899,2.969160395455216,0.8178855901520637,2.029567945932899,0.009654839488293506,0.023533671252715424
215,1.2676470588235293,1435,2155,0.023529411764705882,144.0,21.681176470588234,63.0,1.3231048890335884,40.0,6009,3.9010255575451733,4828,175845,4.523529411764706,7690,4.358885017421603,0.8441176470588235,3.534705882352941,0.03705882352941176,0.08470588235294117
19678,1.8244274809160306,469,239,0.2824427480916031,122.0,28.82442748091603,53.0,1.6448622881355932,37.0,595,4.729343220338983,862,21625,9.114503816793894,1194,1.5458422174840085,3.5801526717557253,4.541984732824427,0.40458015267175573,0.9312977099236641
